FullLocation,Latitude,Longitude
"Linacre Res., Derbyshire, England",53.2481345,-1.4965833300544729
"Wirksworth, Derbyshire, England",53.0821999,-1.5732089
"Warren Hills, Leicestershire, England",52.7319958,-1.3214415
"Ambaston, Derbyshire, England",52.8900868,-1.3645391
"Rutland Water, Leicestershire, England",52.6578136,-0.656536229
"Holme Pierrepont, Nottinghamshire, England",52.9460199,-1.0653888
"Kedleston Hall/Park/Lake, Derbyshire, England",52.9603676,-1.5359382
"Milton STW, Derbyshire, England",52.840570650000004,-1.5253458146436052
"Drakelow Nature Reserve, Derbyshire, England",52.7807912,-1.66788133
"Annesley Pit Top, Nottinghamshire, England",53.0803474,-1.2179491
"Wanlip North Lakes, Leicestershire, England",52.7004959,-1.1069299
"Burrough Hill CP, Leicestershire, England",52.70118663,-0.8729881587
"Hayton Common, Nottinghamshire, England",53.360708,-0.92529751
"Ambergate, Derbyshire, England",53.0604187,-1.4808654
"Matlock (SK303606), Derbyshire, England",53.1398986371,-1.5538204241
"Langford Lowfields, Nottinghamshire, England",53.134091965,-0.768894567417
"Misson Springs [Finningley GP], Nottinghamshire, England",0.0,0.0
"Clumber Park, Nottinghamshire, England",53.26787275,-1.0590388555269086
"Welbeck Raptor Watchpoint, Nottinghamshire, England",53.2457693,-1.1300283336
"Deans Lane, Leicestershire, England",52.732438304,-1.2474268913
"Carr Vale Nature Reserve, Derbyshire, England",53.22673595922,-1.314388128579
"Ilkeston, Derbyshire, England",52.9710869,-1.307171
"Croft Hill, Leicestershire, England",52.5692352,-1.2457966
"Aston-On-Trent, Derbyshire, England",52.8613422,-1.3840477
"Howden Res., Derbyshire, England",53.4377301,-1.7491652030716005
"Church Wilne, Derbyshire, England",52.8826347,-1.334062
"Groby Pool, Leicestershire, England",52.6690867,-1.2291019171825988
"Clay Cross, Derbyshire, England",53.1652765,-1.4132383
"Shipley Lake, Derbyshire, England",52.99307915,-1.3387922716089324
"Cossington Meadows, Leicestershire, England",52.71875425,-1.1143446904494552
"Swithland Res, Leicestershire, England",52.720325,-1.1748147
"Worksop, Nottinghamshire, England",53.3042362,-1.1246168
"Glossop, Derbyshire, England",53.4433552,-1.9499173
"Shipley Country Park, Derbyshire, England",52.99507525,-1.3503045384673023
"Girton, Nottinghamshire, England",53.1856721,-0.7668672
"Stanford Res, Leicestershire, England",52.42049575,-1.1167452287940631
"Mountsorrel, Leicestershire, England",52.730136349999995,-1.1434980989154195
"Mam Tor (SK124832), Derbyshire, England",53.3489170429,-1.809632144315
"Alport Height, Derbyshire, England",53.0606224,-1.5455181
"Groby, Leicestershire, England",52.6683727,-1.2287182569536133
"Sence Valley FP, Leicestershire, England",52.6972311,-1.4070754
"Hassop (SK238723), Derbyshire, England",53.2480301,-1.664763975
"Church Broughton, Derbyshire, England",52.8997067,-1.6952564
"Stoney Cove, Leicestershire, England",52.54215465,-1.2738783286394217
"Foremark Res., Derbyshire, England",52.8090844,-1.5082600459409161
"Attenborough Nature Reserve, Nottinghamshire, England",52.90468725,-1.2201748950556133
"Alfreton, Derbyshire, England",53.0972537,-1.3900241
"Chilwell, Nottinghamshire, England",52.9139657,-1.2402537
"Breaston (SK469333), Derbyshire, England",52.898945,-1.314865554
"Shipley Gate, Derbyshire, England",53.0034766,-1.3107603
"Midway, Derbyshire, England",52.7846464,-1.5588311
"Avenue Country Park, Derbyshire, England",53.20839923,-1.419994666
"Exton estate, Leicestershire, England",52.692313,-0.6379444182
"St Chad's Water, Derbyshire, England",52.88353925,-1.3377273775433265
"Hoveringham, Nottinghamshire, England",53.0134312,-0.9589177
"West Bridgford, Nottinghamshire, England",52.9310754,-1.1256663
"Elkesley, Nottinghamshire, England",53.2722594,-0.9671897
"Girton Pits, Nottinghamshire, England",53.1917288734,-0.76911254
"Staunton Harold Res, Derbyshire, England",52.80466845,-1.4426328438817344
"Foxlow Fishing Ponds, Derbyshire, England",0.0,0.0
"Deans, Leicestershire, England",52.732438304,-1.2474268913
"Abbey Hill Flood, Derbyshire, England",52.9521225,-1.469438132
"Sandiacre, Derbyshire, England",52.9232778,-1.2892153
"Long Eaton, Derbyshire, England",52.8985715,-1.270813
